  a; b; c
  6,000000000048e-02;  3,769854932715e-10 ; 1,505220444407e+00
  6,100096363116e-02;  7,732622425665e-01 ; 1,450857476527e+00
  6,621128162432e-02;  2,321164830009e+00 ; 1,589161201287e+00
  7,555984767961e-02;  -2,461431771890e+00;  1,585926948391e+00
  8,056727565812e-02;  4,431825842132e-01 ; 1,517769982486e+00
  8,898778957414e-02;  7,816574553659e-01 ; 1,627585325817e+00
  9,328423713730e-02;  -2,145526713025e+00;  1,512361277957e+00
  9,743449043320e-02;  -1,803771442322e+00;  1,660896702556e+00
  1,005766683965e-01;  4,504408439589e-01 ; 1,535085008383e+00
  1,112873495488e-01;  -9,837434289358e-01;  1,510738945045e+00
  1,169876974492e-01;  -2,028206782232e+00;  1,662925623402e+00
  1,299710155873e-01;  2,276398992485e-02 ; 1,584082765210e+00
  1,342593227772e-01;  -2,432623680677e+00;  1,562505202304e+00
  1,475812851338e-01;  1,722052957939e+00 ; 1,672680040220e+00
  1,598910723118e-01;  -8,553490964160e-02;  1,591969347078e+00
  1,600000000000e-01;  -4,898587196589e-15;  1,583552150681e+00
